member_casual,month,number_of_rides,average_duration
casual,01,17090,12.943663626883914
casual,02,19631,13.435499593318841
casual,03,61670,19.69552253365831
casual,04,77018,20.868729507397337
casual,05,125697,23.459577016554622
casual,06,193128,24.65144562120836
casual,07,208733,24.188891154646427
casual,08,221294,24.35884752689087
casual,09,172387,21.939662592593155
casual,10,143518,20.467080666649764
casual,11,68802,17.892059317551247
casual,12,28249,14.958705634416539
member,01,84121,9.911537020499855
member,02,89945,9.86054426372584
member,03,148162,11.166696941514747
member,04,181859,11.380383351845719
member,05,215010,12.124174674819338
member,06,253192,13.089400189579585
member,07,285552,13.477717804804469
member,08,294344,13.180522029321533
member,09,295374,12.702322329540154
member,10,274340,12.411845511232135
member,11,177130,10.953675448449829
member,12,102515,10.509146293894824
