member_casual,day_of_week,number_of_rides,average_duration
casual,Sunday,229346,25.734754803212944
casual,Monday,159515,21.822671734947253
casual,Tuesday,150478,19.743357545284862
casual,Wednesday,143305,18.239516126214575
casual,Thursday,166072,19.705583318887715
casual,Friday,213018,21.940855039088596
casual,Saturday,275483,25.10064369603824
member,Sunday,259887,13.611009778413356
member,Monday,359523,11.739708165865917
member,Tuesday,388286,11.785677464121887
member,Wednesday,369494,11.581491983273168
member,Thursday,380301,11.771650104962502
member,Friday,355397,12.114294034464972
member,Saturday,288656,13.41672962470317
